loss,accuracy,val_loss,val_accuracy
0.35757312178611755,0.8572307825088501,0.1712941974401474,0.91796875
0.18246538937091827,0.9396923184394836,0.1528409719467163,0.92578125
0.15168340504169464,0.9526153802871704,0.1407317817211151,0.93359375
0.11445765942335129,0.9581538438796997,0.1259058713912964,0.9453125
0.12475550919771194,0.9563077092170715,0.11465572565793991,0.9609375
0.10078412294387817,0.9655384421348572,0.09639847278594971,0.96484375
0.07139774411916733,0.9766153693199158,0.07986552268266678,0.98046875
0.08353477716445923,0.9692307710647583,0.08207794278860092,0.9765625
0.06961661577224731,0.9784615635871887,0.0815809890627861,0.97265625
0.07652067393064499,0.9772307872772217,0.06978555768728256,0.98046875
0.07542462646961212,0.9766153693199158,0.08786709606647491,0.9609375
0.06831877678632736,0.9772307872772217,0.07408757507801056,0.97265625
0.058259304612874985,0.9846153855323792,0.07445500791072845,0.97265625
0.05771523714065552,0.9803076982498169,0.08031823486089706,0.96875
0.06380783021450043,0.979692280292511,0.07965874671936035,0.96875
0.14662869274616241,0.9544615149497986,0.15257695317268372,0.92578125
0.07919039577245712,0.9729230999946594,0.11354966461658478,0.96875
0.06944788247346878,0.9784615635871887,0.09078621119260788,0.96875
0.05334119126200676,0.9821538329124451,0.07373704761266708,0.9765625
0.05331849679350853,0.982769250869751,0.06699152290821075,0.9765625
0.06033266335725784,0.980923056602478,0.09670301526784897,0.96875
0.04472310096025467,0.9852307438850403,0.07410639524459839,0.9765625
0.04791552200913429,0.9876922965049744,0.06387130916118622,0.97265625
0.0596545971930027,0.980923056602478,0.10112502425909042,0.953125
0.04317159950733185,0.9821538329124451,0.0682232603430748,0.98046875
